country,commodity,year,loss_percentage,food_supply_stage
Benin,Tomatoes,2009,21.2,Wholesale
Benin,Tomatoes,2009,23.0,Farm
Benin,"Mangoes, guavas and mangosteens",2009,43.5,Whole supply chain
Benin,Oranges,2009,5.0,Farm
Benin,Oranges,2009,11.6,Wholesale
Benin,Oranges,2009,51.0,Retail
Benin,Oranges,2009,10.0,Farm
Benin,Oranges,2009,41.0,Wholesale
Benin,Oranges,2009,15.0,Farm
Benin,Oranges,2009,16.4,Wholesale
Benin,Oranges,2009,10.9,Retail
Benin,Oranges,2009,33.0,Retail
Denmark,"Peas, green",2017,5.0,Harvest
Denmark,"Peas, green",2017,14.0,Pre-harvest
Denmark,"Peas, green",2017,5.0,Processing
Denmark,"Peas, green",2017,17.0,Wholesale
Denmark,"Peas, green",2017,18.0,Farm
Denmark,Carrots and turnips,2017,25.0,Farm
Denmark,Carrots and turnips,2017,10.0,Harvest
Denmark,"Onions and shallots, green",2017,5.5,Harvest
Denmark,"Onions and shallots, green",2017,43.0,Pre-harvest
Denmark,"Onions and shallots, green",2017,8.5,Storage
Denmark,"Onions and shallots, green",2017,9.0,Transport
Denmark,"Onions and shallots, green",2017,21.0,Farm
Denmark,"Onions and shallots, green",2017,5.0,Retail
Denmark,"Onions and shallots, green",2013,21.0,Whole supply chain
Denmark,"Onions and shallots, green",2012,21.0,Whole supply chain
Denmark,"Onions and shallots, green",2011,21.0,Whole supply chain
Ethiopia,Tomatoes,2015,17.0,Whole supply chain
Ethiopia,Bananas,2015,24.6,Whole supply chain
Ethiopia,Oranges,2015,20.0,Whole supply chain
Ethiopia,Bananas,2012,7.1,Wholesale
Ethiopia,Bananas,2012,14.9,Retail
Ethiopia,Bananas,2012,4.5,Farm
Fiji,Tomatoes,2012,13.4,Households
Fiji,Tomatoes,2012,8.8,Farm
Fiji,Tomatoes,2012,6.4,Wholesale
Fiji,Tomatoes,2012,8.3,Households
Fiji,Tomatoes,2012,0.1,Transport
Fiji,Tomatoes,2012,6.2,Households
Finland,"Peas, green",2017,17.6,Farm
Finland,Carrots and turnips,2017,6.2,Harvest
Finland,Carrots and turnips,2017,15.0,Farm
Finland,"Onions and shallots, green",2017,11.0,Farm
Finland,Strawberries,2014,14.0,Farm
Finland,Lettuce and chicory,2013,17.0,Farm
Finland,"Peas, green",2013,17.0,Harvest
Finland,Carrots and turnips,2013,26.0,Farm
Finland,"Onions and shallots, green",2013,11.0,Farm
Finland,Lettuce and chicory,2012,17.0,Farm
Finland,"Peas, green",2012,17.0,Harvest
Finland,Carrots and turnips,2012,26.0,Farm
Finland,"Onions and shallots, green",2012,11.0,Farm
Finland,Lettuce and chicory,2011,17.0,Farm
Finland,"Peas, green",2011,17.0,Harvest
Finland,Carrots and turnips,2011,26.0,Farm
Finland,"Onions and shallots, green",2011,11.0,Farm
Finland,"Other fruits, n.e.c.",2010,13.0,Households
Gabon,Plantains and cooking bananas,2013,35.0,Whole supply chain
Ghana,Tomatoes,2014,28.6,Farm
Ghana,Tomatoes,2014,32.1,Distribution
Ghana,Tomatoes,2014,5.7,Harvest
Ghana,Okra,2014,30.0,Farm
Ghana,Okra,2014,16.6,Harvest
Ghana,Okra,2014,4.7,Distribution
Ghana,Oranges,2014,2.2,Farm
Ghana,Oranges,2014,1.1,Harvest
Ghana,Oranges,2014,2.8,Distribution
Ghana,Okra,2013,25.0,Post-harvest
Ghana,Tomatoes,2011,50.0,Farm
Ghana,Tomatoes,2011,35.0,Farm
Ghana,"Mangoes, guavas and mangosteens",2010,5.4,Wholesale
Ghana,"Mangoes, guavas and mangosteens",2010,9.0,Retail
Ghana,"Mangoes, guavas and mangosteens",2010,4.8,Farm
Ghana,Cabbages,2010,19.3,Wholesale
Ghana,Cabbages,2010,25.0,Retail
Ghana,Cabbages,2010,38.0,Farm
Ghana,Eggplants (aubergines),2010,12.4,Farm
Ghana,Eggplants (aubergines),2010,10.5,Wholesale
Ghana,Eggplants (aubergines),2010,8.1,Retail
Ghana,Tomatoes,2010,16.8,Retail
Ghana,Tomatoes,2010,17.8,Wholesale
Ghana,Okra,2010,2.3,Wholesale
Ghana,Okra,2010,10.7,Retail
Ghana,"Onions and shallots, green",2010,11.8,Retail
Ghana,"Onions and shallots, green",2010,3.3,Wholesale
Ghana,Plantains and cooking bananas,2010,26.0,Wholesale
Ghana,Plantains and cooking bananas,2010,21.0,Retail
Ghana,"Mangoes, guavas and mangosteens",2010,4.2,Farm
Ghana,"Mangoes, guavas and mangosteens",2010,5.4,Wholesale
Ghana,"Mangoes, guavas and mangosteens",2010,4.5,Retail
Ghana,Pineapples,2010,20.0,Farm
Ghana,Pineapples,2010,20.7,Retail
Ghana,Pineapples,2010,9.6,Farm
Ghana,Pineapples,2010,27.2,Wholesale
Ghana,Tomatoes,2010,25.0,Farm
Ghana,Tomatoes,2010,21.5,Wholesale
Ghana,Tomatoes,2010,23.0,Retail
Ghana,Okra,2010,6.3,Retail
Ghana,Okra,2010,16.6,Farm
Ghana,Okra,2010,2.3,Wholesale
Ghana,Tomatoes,2010,22.5,Retail
Ghana,Tomatoes,2010,50.5,Farm
Ghana,Tomatoes,2010,35.5,Wholesale
Ghana,Okra,2010,6.3,Retail
Ghana,Okra,2010,4.5,Wholesale
Ghana,Okra,2010,17.0,Farm
Ghana,Okra,2010,0.3,Farm
Ghana,"Mangoes, guavas and mangosteens",2010,1.5,Farm
Ghana,"Mangoes, guavas and mangosteens",2010,3.0,Harvest
Ghana,"Mangoes, guavas and mangosteens",2010,10.0,Wholesale
Ghana,"Mangoes, guavas and mangosteens",2010,2.5,Storage
Ghana,"Mangoes, guavas and mangosteens",2010,3.5,Processing
Ghana,"Mangoes, guavas and mangosteens",2010,5.0,Processing
Ghana,"Mangoes, guavas and mangosteens",2010,6.0,Farm
Ghana,Cabbages,2009,37.6,Farm
Ghana,Cabbages,2009,28.9,Wholesale
Ghana,Cabbages,2009,36.3,Retail
Ghana,Tomatoes,2009,13.1,Farm
Ghana,Cabbages,2009,8.0,Wholesale
Ghana,Cabbages,2009,45.0,Retail
Ghana,Cabbages,2009,13.0,Farm
Ghana,Cabbages,2009,32.0,Wholesale
Ghana,Cabbages,2009,5.0,Retail
Ghana,Cabbages,2009,28.1,Retail
Ghana,Cabbages,2009,54.0,Farm
Ghana,Cabbages,2009,6.5,Wholesale
Ghana,Eggplants (aubergines),2009,2.8,Farm
Ghana,Eggplants (aubergines),2009,16.2,Retail
Ghana,Eggplants (aubergines),2009,2.0,Wholesale
Ghana,Eggplants (aubergines),2009,13.9,Farm
Ghana,Eggplants (aubergines),2009,11.3,Wholesale
Ghana,Eggplants (aubergines),2009,19.0,Wholesale
Ghana,Eggplants (aubergines),2009,22.0,Farm
Ghana,Eggplants (aubergines),2009,9.5,Retail
Ghana,Tomatoes,2009,33.5,Farm
Ghana,Tomatoes,2009,21.5,Wholesale
Ghana,Tomatoes,2009,10.5,Retail
Ghana,Tomatoes,2009,14.0,Wholesale
Ghana,Tomatoes,2009,25.1,Farm
Ghana,Tomatoes,2009,23.0,Retail
Ghana,Tomatoes,2009,11.5,Retail
Ghana,Tomatoes,2009,17.0,Farm
Ghana,Tomatoes,2009,21.5,Wholesale
Ghana,Okra,2009,8.5,Retail
Ghana,Okra,2009,6.3,Retail
Ghana,Okra,2009,28.0,Farm
Ghana,Okra,2009,2.3,Wholesale
Ghana,Okra,2009,15.0,Retail
Ghana,Okra,2009,16.6,Farm
Ghana,Okra,2009,4.5,Wholesale
Ghana,Okra,2009,6.0,Farm
Ghana,"Mangoes, guavas and mangosteens",2009,5.0,Wholesale
Ghana,"Mangoes, guavas and mangosteens",2009,0.4,Wholesale
Ghana,"Mangoes, guavas and mangosteens",2009,8.0,Retail
Ghana,"Mangoes, guavas and mangosteens",2009,2.5,Farm
Ghana,"Mangoes, guavas and mangosteens",2009,2.3,Farm
Ghana,"Mangoes, guavas and mangosteens",2009,1.0,Retail
Ghana,"Mangoes, guavas and mangosteens",2009,6.0,Farm
Ghana,Tomatoes,2008,25.0,Whole supply chain
Ghana,"Mangoes, guavas and mangosteens",2008,48.5,Whole supply chain
Ghana,Pineapples,2008,28.5,Whole supply chain
Ghana,Tomatoes,2008,2.1,Transport
Ghana,Tomatoes,2008,3.6,Storage
Ghana,Tomatoes,2008,2.3,Wholesale
Ghana,Tomatoes,2008,2.2,Storage
Ghana,Tomatoes,2008,4.2,Transport
Ghana,Tomatoes,2008,3.4,Transport
Ghana,Tomatoes,2008,20.0,Transport
Ghana,Tomatoes,2008,1.7,Farm
Ghana,Tomatoes,2008,4.1,Processing
Ghana,Tomatoes,2008,3.9,Harvest
Ghana,"Mangoes, guavas and mangosteens",2008,11.8,Transport
Ghana,"Mangoes, guavas and mangosteens",2008,1.5,Farm
Ghana,"Mangoes, guavas and mangosteens",2008,3.0,Harvest
Ghana,"Mangoes, guavas and mangosteens",2008,0.3,Transport
Ghana,"Mangoes, guavas and mangosteens",2008,0.5,Transport
Ghana,"Mangoes, guavas and mangosteens",2008,3.5,Processing
Ghana,"Mangoes, guavas and mangosteens",2008,0.8,Transport
Ghana,"Mangoes, guavas and mangosteens",2008,19.1,Market
Ghana,"Mangoes, guavas and mangosteens",2008,2.7,Storage
Ghana,"Mangoes, guavas and mangosteens",2008,5.1,Processing
Ghana,Oranges,2008,0.5,Wholesale
Ghana,Oranges,2008,0.3,Transport
Ghana,Oranges,2008,1.1,Harvest
Ghana,Oranges,2008,1.0,Transport
Ghana,Oranges,2008,2.1,Processing
Guinea,Plantains and cooking bananas,2013,35.0,Whole supply chain
Guyana,Tomatoes,2015,5.0,Retail
Guyana,Tomatoes,2015,8.0,Processing
Guyana,Tomatoes,2015,7.0,Harvest
Guyana,"Mangoes, guavas and mangosteens",2015,15.0,Harvest
Guyana,"Mangoes, guavas and mangosteens",2015,17.0,Processing
Haiti,"Mangoes, guavas and mangosteens",2011,20.0,Processing
Haiti,"Mangoes, guavas and mangosteens",2011,50.0,Export
Haiti,"Mangoes, guavas and mangosteens",2010,50.0,Farm
Haiti,"Mangoes, guavas and mangosteens",2010,50.0,Farm
Southern Asia,"Other fruits, n.e.c.",2011,25.0,Processing
Southern Asia,"Other fruits, n.e.c.",2011,9.0,Farm
Southern Asia,"Other fruits, n.e.c.",2011,10.0,Wholesale
Southern Asia,"Other fruits, n.e.c.",2011,7.0,Households
Southern Asia,"Other fruits, n.e.c.",2011,15.0,Farm
South-Eastern Asia,"Other fruits, n.e.c.",2011,15.0,Farm
South-Eastern Asia,"Other fruits, n.e.c.",2011,25.0,Processing
South-Eastern Asia,"Other fruits, n.e.c.",2011,10.0,Wholesale
South-Eastern Asia,"Other fruits, n.e.c.",2011,7.0,Households
South-Eastern Asia,"Other fruits, n.e.c.",2011,9.0,Farm
India,Cabbages,2016,1.7,Harvest
India,Cabbages,2016,12.8,Whole supply chain
India,Cabbages,2016,6.8,Farm
India,Cabbages,2016,2.6,Storage
India,Cabbages,2016,9.4,Whole supply chain
India,Cabbages,2016,4.4,Whole supply chain
India,Cabbages,2016,4.4,Whole supply chain
India,Cabbages,2016,12.8,Whole supply chain
India,Cauliflowers and broccoli,2016,2.0,Storage
India,Cauliflowers and broccoli,2016,2.2,Harvest
India,Cauliflowers and broccoli,2016,2.0,Storage
India,Cauliflowers and broccoli,2016,9.6,Whole supply chain
India,Cauliflowers and broccoli,2016,7.6,Farm
India,Cauliflowers and broccoli,2016,2.2,Harvest
India,Tomatoes,2016,9.4,Farm
India,Tomatoes,2016,12.4,Whole supply chain
India,Tomatoes,2016,3.0,Storage
India,Tomatoes,2016,3.2,Harvest
India,"Peas, green",2016,5.7,Farm
India,"Peas, green",2016,1.7,Storage
India,"Peas, green",2016,2.3,Harvest
India,"Peas, green",2016,7.5,Whole supply chain
India,"Onions and shallots, green",2016,2.2,Storage
India,"Onions and shallots, green",2016,8.2,Whole supply chain
India,"Onions and shallots, green",2016,2.6,Harvest
India,"Onions and shallots, green",2016,12.7,Whole supply chain
India,"Onions and shallots, green",2016,6.1,Farm
India,"Onions and shallots, green",2016,5.5,Whole supply chain
India,Mushrooms and truffles,2016,2.2,Storage
India,Mushrooms and truffles,2016,7.3,Farm
India,Mushrooms and truffles,2016,9.5,Whole supply chain
India,Mushrooms and truffles,2016,1.0,Harvest
India,Bananas,2016,6.0,Farm
India,Bananas,2016,4.4,Whole supply chain
India,Bananas,2016,1.6,Harvest
India,Bananas,2016,4.4,Whole supply chain
India,Bananas,2016,10.6,Whole supply chain
India,Bananas,2016,4.4,Whole supply chain
India,Bananas,2016,1.7,Storage
India,Bananas,2016,7.8,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,10.0,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,4.0,Storage
India,"Mangoes, guavas and mangosteens",2016,11.9,Farm
India,"Mangoes, guavas and mangosteens",2016,15.5,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,6.9,Farm
India,"Mangoes, guavas and mangosteens",2016,4.9,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,5.3,Harvest
India,"Mangoes, guavas and mangosteens",2016,10.0,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,19.5,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,9.2,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,6.6,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,15.9,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,15.5,Whole supply chain
India,"Mangoes, guavas and mangosteens",2016,2.1,Harvest
India,Papayas,2016,2.6,Storage
India,Papayas,2016,4.1,Farm
India,Papayas,2016,12.3,Whole supply chain
India,Papayas,2016,1.0,Harvest
India,Papayas,2016,6.7,Whole supply chain
India,Papayas,2016,3.2,Whole supply chain
India,"Other tropical and subtropical fruits, n.e.c.",2016,2.5,Harvest
India,"Other tropical and subtropical fruits, n.e.c.",2016,12.0,Whole supply chain
India,"Other citrus fruit, n.e.c.",2016,9.7,Whole supply chain
India,"Other citrus fruit, n.e.c.",2016,2.4,Storage
India,"Other citrus fruit, n.e.c.",2016,6.1,Whole supply chain
India,"Other citrus fruit, n.e.c.",2016,13.0,Whole supply chain
India,"Other citrus fruit, n.e.c.",2016,7.6,Farm
India,"Other citrus fruit, n.e.c.",2016,1.7,Harvest
India,Grapes,2016,1.8,Harvest
India,Grapes,2016,8.6,Whole supply chain
India,Grapes,2016,6.5,Farm
India,Grapes,2016,2.1,Storage
India,Apples,2016,1.3,Storage
India,Apples,2016,10.4,Whole supply chain
India,Apples,2016,4.3,Harvest
India,Apples,2016,9.1,Whole supply chain
India,"Other fruits, n.e.c.",2016,7.4,Farm
India,"Other fruits, n.e.c.",2016,2.3,Storage
India,"Other fruits, n.e.c.",2016,9.7,Whole supply chain
India,Cabbages,2014,0.2,Storage
India,Cabbages,2014,9.4,Whole supply chain
India,Cabbages,2014,0.0,Storage
India,Cabbages,2014,1.7,Harvest
India,Cabbages,2014,3.3,Farm
India,Cabbages,2014,0.4,Farm
India,Cabbages,2014,0.9,Storage
India,Cabbages,2014,0.1,Storage
India,Cabbages,2014,0.4,Farm
India,Cabbages,2014,1.0,Transport
India,Cabbages,2014,1.4,Storage
India,Cauliflowers and broccoli,2014,0.9,Transport
India,Cauliflowers and broccoli,2014,9.6,Whole supply chain
India,Cauliflowers and broccoli,2014,0.3,Farm
India,Cauliflowers and broccoli,2014,2.2,Harvest
India,Cauliflowers and broccoli,2014,0.4,Farm
India,Cauliflowers and broccoli,2014,0.1,Storage
India,Cauliflowers and broccoli,2014,0.8,Storage
India,Cauliflowers and broccoli,2014,1.0,Storage
India,Cauliflowers and broccoli,2014,3.8,Farm
India,Cauliflowers and broccoli,2014,0.1,Storage
India,Tomatoes,2014,0.2,Farm
India,Tomatoes,2014,1.6,Storage
India,Tomatoes,2014,0.1,Storage
India,Tomatoes,2014,3.2,Harvest
India,Tomatoes,2014,0.5,Farm
India,Tomatoes,2014,3.7,Farm
India,Tomatoes,2014,1.8,Farm
India,Tomatoes,2014,0.0,Storage
India,Tomatoes,2014,12.4,Whole supply chain
India,Tomatoes,2014,1.3,Storage
India,"Peas, green",2014,0.6,Transport
India,"Peas, green",2014,0.1,Farm
India,"Peas, green",2014,0.3,Farm
India,"Peas, green",2014,0.1,Storage
India,"Peas, green",2014,1.1,Storage
India,"Peas, green",2014,7.5,Whole supply chain
India,"Peas, green",2014,0.6,Storage
India,"Peas, green",2014,2.4,Farm
India,"Peas, green",2014,0.0,Storage
India,"Peas, green",2014,2.3,Harvest
India,"Onions and shallots, green",2014,0.3,Storage
India,"Onions and shallots, green",2014,0.4,Farm
India,"Onions and shallots, green",2014,0.7,Storage
India,"Onions and shallots, green",2014,2.4,Farm
India,"Onions and shallots, green",2014,0.1,Farm
India,"Onions and shallots, green",2014,2.6,Harvest
India,"Onions and shallots, green",2014,0.5,Transport
India,"Onions and shallots, green",2014,0.0,Storage
India,"Onions and shallots, green",2014,8.2,Whole supply chain
India,"Onions and shallots, green",2014,0.8,Storage
India,"Onions and shallots, green",2014,0.4,Storage
India,Mushrooms and truffles,2014,1.0,Harvest
India,Mushrooms and truffles,2014,5.3,Farm
India,Mushrooms and truffles,2014,9.5,Whole supply chain
India,Mushrooms and truffles,2014,0.0,Farm
India,Mushrooms and truffles,2014,0.8,Transport
India,Mushrooms and truffles,2014,1.5,Storage
India,Mushrooms and truffles,2014,0.2,Farm
India,Mushrooms and truffles,2014,0.7,Storage
India,Bananas,2014,0.3,Farm
India,Bananas,2014,1.2,Storage
India,Bananas,2014,7.8,Whole supply chain
India,Bananas,2014,1.6,Harvest
India,Bananas,2014,1.9,Transport
India,Bananas,2014,0.2,Farm
India,Bananas,2014,0.5,Storage
India,Bananas,2014,2.1,Farm
India,Bananas,2014,0.1,Storage
India,Bananas,2014,0.0,Storage
India,"Mangoes, guavas and mangosteens",2014,3.3,Farm
India,"Mangoes, guavas and mangosteens",2014,2.1,Storage
India,"Mangoes, guavas and mangosteens",2014,5.0,Farm
India,"Mangoes, guavas and mangosteens",2014,0.0,Storage
India,"Mangoes, guavas and mangosteens",2014,0.2,Farm
India,"Mangoes, guavas and mangosteens",2014,0.3,Farm
India,"Mangoes, guavas and mangosteens",2014,0.2,Storage
India,"Mangoes, guavas and mangosteens",2014,1.6,Storage
India,"Mangoes, guavas and mangosteens",2014,1.2,Transport
India,"Mangoes, guavas and mangosteens",2014,0.0,Storage
India,"Mangoes, guavas and mangosteens",2014,0.1,Farm
India,"Mangoes, guavas and mangosteens",2014,0.1,Storage
India,"Mangoes, guavas and mangosteens",2014,2.1,Harvest
India,"Mangoes, guavas and mangosteens",2014,9.2,Whole supply chain
India,"Mangoes, guavas and mangosteens",2014,1.0,Transport
India,"Mangoes, guavas and mangosteens",2014,0.7,Storage
India,"Mangoes, guavas and mangosteens",2014,1.2,Storage
India,"Mangoes, guavas and mangosteens",2014,15.9,Whole supply chain
India,"Mangoes, guavas and mangosteens",2014,0.3,Farm
India,"Mangoes, guavas and mangosteens",2014,5.3,Harvest
India,"Mangoes, guavas and mangosteens",2014,0.3,Storage
India,Papayas,2014,0.3,Farm
India,Papayas,2014,0.8,Storage
India,Papayas,2014,0.0,Storage
India,Papayas,2014,0.9,Transport
India,Papayas,2014,0.4,Farm
India,Papayas,2014,1.0,Harvest
India,Papayas,2014,6.7,Whole supply chain
India,Papayas,2014,1.5,Farm
India,Papayas,2014,1.7,Storage
India,Papayas,2014,0.1,Storage
India,Papayas,2014,0.0,Storage
India,"Other tropical and subtropical fruits, n.e.c.",2014,1.7,Farm
India,"Other tropical and subtropical fruits, n.e.c.",2014,0.3,Farm
India,"Other tropical and subtropical fruits, n.e.c.",2014,0.0,Storage
India,"Other tropical and subtropical fruits, n.e.c.",2014,0.3,Storage
India,"Other tropical and subtropical fruits, n.e.c.",2014,2.5,Harvest
India,"Other tropical and subtropical fruits, n.e.c.",2014,0.0,Storage
India,"Other tropical and subtropical fruits, n.e.c.",2014,0.9,Storage
India,"Other tropical and subtropical fruits, n.e.c.",2014,0.4,Farm
India,"Other tropical and subtropical fruits, n.e.c.",2014,1.1,Storage
India,"Other tropical and subtropical fruits, n.e.c.",2014,9.7,Whole supply chain
India,"Other tropical and subtropical fruits, n.e.c.",2014,2.6,Farm
India,"Other citrus fruit, n.e.c.",2014,0.9,Storage
India,"Other citrus fruit, n.e.c.",2014,1.7,Transport
India,"Other citrus fruit, n.e.c.",2014,1.7,Harvest
India,"Other citrus fruit, n.e.c.",2014,0.1,Storage
India,"Other citrus fruit, n.e.c.",2014,0.3,Farm
India,"Other citrus fruit, n.e.c.",2014,1.1,Storage
India,"Other citrus fruit, n.e.c.",2014,0.0,Storage
India,"Other citrus fruit, n.e.c.",2014,0.2,Farm
India,"Other citrus fruit, n.e.c.",2014,3.7,Farm
India,"Other citrus fruit, n.e.c.",2014,9.7,Whole supply chain
India,"Other citrus fruit, n.e.c.",2014,0.0,Storage
India,Grapes,2014,3.4,Farm
India,Grapes,2014,0.1,Storage
India,Grapes,2014,1.8,Harvest
India,Grapes,2014,0.8,Storage
India,Grapes,2014,1.0,Transport
India,Grapes,2014,8.6,Whole supply chain
India,Grapes,2014,0.0,Storage
India,Grapes,2014,1.2,Storage
India,Grapes,2014,0.1,Farm
India,Grapes,2014,0.3,Farm
India,Apples,2014,0.1,Farm
India,Apples,2014,0.3,Storage
India,Apples,2014,0.1,Storage
India,Apples,2014,10.4,Whole supply chain
India,Apples,2014,0.3,Storage
India,Apples,2014,0.6,Storage
India,Apples,2014,4.3,Harvest
India,Apples,2014,3.9,Farm
India,Apples,2014,0.0,Storage
India,Apples,2014,0.4,Transport
India,Apples,2014,0.3,Farm
India,Cabbages,2013,9.4,Whole supply chain
India,Cauliflowers and broccoli,2013,9.6,Whole supply chain
India,Tomatoes,2013,12.4,Whole supply chain
India,Bananas,2013,7.8,Whole supply chain
India,Papayas,2013,6.7,Whole supply chain
India,Apples,2013,10.4,Whole supply chain
India,Cauliflowers and broccoli,2010,35.5,Harvest
India,Cucumbers and gherkins,2010,15.0,Harvest
India,Cucumbers and gherkins,2010,5.4,Wholesale
India,Cucumbers and gherkins,2010,8.6,Farm
India,Cucumbers and gherkins,2010,7.1,Retail
India,Eggplants (aubergines),2010,10.8,Farm
India,Eggplants (aubergines),2010,62.5,Harvest
India,Eggplants (aubergines),2010,12.8,Wholesale
India,Eggplants (aubergines),2010,7.1,Retail
India,Tomatoes,2010,12.5,Retail
India,Tomatoes,2010,11.9,Transport
India,Tomatoes,2010,9.4,Storage
India,Tomatoes,2010,17.5,Farm
India,Tomatoes,2010,7.5,Farm
India,Tomatoes,2010,4.2,Harvest
India,Tomatoes,2010,11.1,Wholesale
India,Tomatoes,2010,4.7,Farm
India,Okra,2010,10.6,Farm
India,Okra,2010,4.5,Farm
India,Okra,2010,3.5,Retail
India,Okra,2010,19.8,Harvest
India,Okra,2010,4.0,Storage
India,Okra,2010,8.3,Retail
India,Okra,2010,4.3,Transport
India,Okra,2010,5.0,Wholesale
India,Okra,2010,3.5,Harvest
India,"Onions and shallots, green",2010,27.5,Harvest
India,Bananas,2010,28.5,Harvest
India,"Mangoes, guavas and mangosteens",2010,24.8,Harvest
India,"Mangoes, guavas and mangosteens",2010,27.5,Harvest
India,"Mangoes, guavas and mangosteens",2010,5.8,Farm
India,"Mangoes, guavas and mangosteens",2010,8.3,Retail
India,"Mangoes, guavas and mangosteens",2010,7.0,Wholesale
India,"Mangoes, guavas and mangosteens",2010,7.5,Transport
India,"Other tropical and subtropical fruits, n.e.c.",2010,9.4,Retail
