m49_code,country,region,cpc_code,commodity,year,loss_percentage,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
143,Central Asia,,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
143,Central Asia,,1359.9,"Other fruits, n.e.c.",2011,15.0,Wholesale,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
143,Central Asia,,1359.9,"Other fruits, n.e.c.",2011,12.0,Households,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
145,Western Asia,,1359.9,"Other fruits, n.e.c.",2011,12.0,Households,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
145,Western Asia,,1359.9,"Other fruits, n.e.c.",2011,17.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
145,Western Asia,,1359.9,"Other fruits, n.e.c.",2011,20.0,Processing,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
145,Western Asia,,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
145,Western Asia,,1359.9,"Other fruits, n.e.c.",2011,15.0,Wholesale,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
15,Northern Africa,,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
15,Northern Africa,,1359.9,"Other fruits, n.e.c.",2011,12.0,Households,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
15,Northern Africa,,1359.9,"Other fruits, n.e.c.",2011,15.0,Wholesale,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
15,Northern Africa,,1359.9,"Other fruits, n.e.c.",2011,20.0,Processing,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
15,Northern Africa,,1359.9,"Other fruits, n.e.c.",2011,17.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
152,Chile,North Patagonia Region,1342.01,Pears,2013,13.0,Farm,,Insect Damage,5500 (individual pears),No Data Collection Specified,M.C. Sosa M.C. Lutz N.C. Lefort and A. Sanchez,https://www.researchgate.net/publication/309816211_Postharvest_losses_by_complex_of_Phytophthora_sp_and_Botrytis_cinerea_in_long_storage_pear_fruit_in_the_North_Patagonia_Argentina,
156,China,,1359.9,"Other fruits, n.e.c.",2014,10.0,Wholesale,,,,Survey,"(2016), Food Losses and Food Waste in China",, Reference has been generated automatically
156,China,,1359.9,"Other fruits, n.e.c.",2014,15.0,Storage,,,,Survey,"(2016), Food Losses and Food Waste in China",, Reference has been generated automatically
156,China,,1359.9,"Other fruits, n.e.c.",2012,12.5,Storage,,,,Modelled Estimates,"(2016), Food Losses and Food Waste in China",, Reference has been generated automatically
156,China,,1359.9,"Other fruits, n.e.c.",2007,12.5,Storage,,,,Expert Opinion,,http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf,
170,Colombia,,1317,Papayas,2016,17.7,Harvest,,,,No Data Collection Specified,,,
170,Colombia,,1317,Papayas,2016,3.0,Retail,,,,No Data Collection Specified,,,
170,Colombia,,1317,Papayas,2016,3.1,Storage,,Conditioning,,No Data Collection Specified,,,
188,Costa Rica,,1234,Tomatoes,2015,2.0,Wholesale,,,,Survey,FAO (2015),,
188,Costa Rica,,1234,Tomatoes,2015,10.0,Farm,,,,Survey,FAO (2015),,
188,Costa Rica,,1234,Tomatoes,2015,7.5,Retail,,,,Survey,FAO (2015),,
192,Cuba,,1212,Cabbages,2011,1.6,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1212,Cabbages,2011,0.5,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1215,Spinach,2011,1.0,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1229,Cantaloupes and other melons,2011,0.2,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1232,Cucumbers and gherkins,2011,1.0,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1234,Tomatoes,2011,0.9,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1234,Tomatoes,2011,7.7,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1251,Carrots and turnips,2011,5.6,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1290.9,"Other vegetables, fresh n.e.c.",2011,1.4,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1311,Avocados,2011,1.9,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1312,Bananas,2011,8.7,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1316,"Mangoes, guavas and mangosteens",2011,2.9,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1317,Papayas,2011,2.6,Processing,,,,Survey,FAO (2015),,
192,Cuba,,1318,Pineapples,2011,3.2,Processing,,,,Survey,FAO (2015),,
202,Sub-Saharan Africa,,1359.9,"Other fruits, n.e.c.",2011,25.0,Processing,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
202,Sub-Saharan Africa,,1359.9,"Other fruits, n.e.c.",2011,17.0,Wholesale,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
202,Sub-Saharan Africa,,1359.9,"Other fruits, n.e.c.",2011,5.0,Households,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
202,Sub-Saharan Africa,,1359.9,"Other fruits, n.e.c.",2011,9.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
202,Sub-Saharan Africa,,1359.9,"Other fruits, n.e.c.",2011,10.0,Farm,,,,Modelled Estimates,"FAO (2016), g l o b a l f o o d l o s s e s f o o d w a s t e",, Reference has been generated automatically
204,Benin,,1318,Pineapples,2014,50.0,Export,,Rejected because it does not meet European import criteria,,No Data Collection Specified,,http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
204,Benin,,1234,Tomatoes,2010,27.2,Retail,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2010,26.0,Farm,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1253.01,"Onions and shallots, green",2010,43.8,Wholesale,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1253.01,"Onions and shallots, green",2010,28.0,Retail,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1316,"Mangoes, guavas and mangosteens",2010,45.4,Wholesale,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1316,"Mangoes, guavas and mangosteens",2010,49.5,Retail,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1318,Pineapples,2010,13.9,Wholesale,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1318,Pineapples,2010,22.0,Retail,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2010,31.0,Retail,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2010,53.0,Farm,,,,,Kitinoja,http://www.sciencedirect.com/science/article/pii/S0305750X14002307,
204,Benin,,1234,Tomatoes,2010,26.2,Wholesale,,,,,Kitinoja,http://www.sciencedirect.com/science/article/pii/S0305750X14002307,
204,Benin,,1323,Oranges,2010,26.3,Wholesale,,,,No Data Collection Specified,Kitinoja,http://www.sciencedirect.com/science/article/pii/S0305750X14002307,
204,Benin,,1323,Oranges,2010,10.0,Farm,,,,Rapid Assessment,Kitinoja,http://www.sciencedirect.com/science/article/pii/S0305750X14002307,
204,Benin,,1234,Tomatoes,2009,16.4,Farm,,lack of pre-sorting to remove decayed produce before packing promoted spread of fungal and bacterial diseases and insect pests during handling,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
204,Benin,,1323,Oranges,2009,36.0,Retail,Mean pulp temperatures for oranges were 29.8±2.7°C,Decay due to high temperature,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
204,Benin,,1323,Oranges,2009,19.3,Wholesale,Mean pulp temperatures for oranges were 29.8±2.7°C,Decay due to high temperature,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
204,Benin,,1234,Tomatoes,2009,24.0,Farm,,Decay,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,29.0,Farm,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,31.2,Wholesale,,Physical Losses,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,27.5,Wholesale,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,26.4,Retail,,Physical Losses,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,28.0,Retail,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,27.5,Retail,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,21.2,Wholesale,,Decay,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1234,Tomatoes,2009,23.0,Farm,,Physical Losses,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1316,"Mangoes, guavas and mangosteens",2009,43.5,Whole supply chain,,,,Field Trial/Experimental Design,Vayssieres Korie and Ayegnon,http://ucanr.edu/datastoreFiles/234-1847.pdf,"Sourced from Vayssieres et al, 2008"
204,Benin,,1323,Oranges,2009,5.0,Farm,,Decay,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,11.6,Wholesale,,Physical Losses,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,51.0,Retail,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,10.0,Farm,,Physical Losses,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,41.0,Wholesale,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,15.0,Farm,,Mechanical Damage,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,16.4,Wholesale,,Decay,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,10.9,Retail,,Physical Losses,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
204,Benin,,1323,Oranges,2009,33.0,Retail,,Decay,"10, planning project",Rapid Assessment,IITA,http://ucanr.edu/datastoreFiles/234-1847.pdf,
208,Denmark,,1242,"Peas, green",2017,5.0,Harvest,,"Average /Frequency of producers/Frequency of producers who answered “Don’t know” 
In field 14% 47% 36%
During harvesting 5% 44% 27%
During cleaning 2% 9% 30%
During husking 5% 5% 27%
During blanching and freezing 0% 3% 28%
During colour sorting 8% 5% 27%
During sale and reclaim 17% 5% 30%
Other* 14% 14% 22%","No. Of distributed questionnaires 252
No. Of answers 64
Response frequency 25%",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1242,"Peas, green",2017,14.0,Pre-harvest,"Main reasons given: Higher sales/better prices, improved agronomy, e.g. new pesticides, better harvest techniques, not possible, better weather.","Average /Frequency of producers/Frequency of producers who answered “Don’t know” 
In field 14% 47% 36%
During harvesting 5% 44% 27%
During cleaning 2% 9% 30%
During husking 5% 5% 27%
During blanching and freezing 0% 3% 28%
During colour sorting 8% 5% 27%
During sale and reclaim 17% 5% 30%
Other* 14% 14% 22%

Disease in field 5% 22% 23%
Damage from animals 20% 34% 19%
Weather conditions (rain, flooding, etc.) 38% 30% 19%
Technical problems related to cultivation method
(spray damage or similar)
5% 16% 22%
Damage during harvest and handling 51% 27% 25%
Other quality parameters 23% 8% 23%
Reclaims 0% 6% 22%
No sale or overproduction 35% 19% 23%
Other* 13% 11% 20%","No. Of distributed questionnaires 252
No. Of answers 64
Response frequency 25%",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1242,"Peas, green",2017,5.0,Processing,,"Average /Frequency of producers/Frequency of producers who answered “Don’t know” 
In field 14% 47% 36%
During harvesting 5% 44% 27%
During cleaning 2% 9% 30%
During husking 5% 5% 27%
During blanching and freezing 0% 3% 28%
During colour sorting 8% 5% 27%
During sale and reclaim 17% 5% 30%
Other* 14% 14% 22%

Disease in field 5% 22% 23%
Damage from animals 20% 34% 19%
Weather conditions (rain, flooding, etc.) 38% 30% 19%
Technical problems related to cultivation method
(spray damage or similar)
5% 16% 22%
Damage during harvest and handling 51% 27% 25%
Other quality parameters 23% 8% 23%
Reclaims 0% 6% 22%
No sale or overproduction 35% 19% 23%
Other* 13% 11% 20%","No. Of distributed questionnaires 252
No. Of answers 64
Response frequency 25%",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1242,"Peas, green",2017,17.0,Wholesale,,"Average /Frequency of producers/Frequency of producers who answered “Don’t know” 
In field 14% 47% 36%
During harvesting 5% 44% 27%
During cleaning 2% 9% 30%
During husking 5% 5% 27%
During blanching and freezing 0% 3% 28%
During colour sorting 8% 5% 27%
During sale and reclaim 17% 5% 30%
Other* 14% 14% 22%","No. Of distributed questionnaires 252
No. Of answers 64
Response frequency 25%",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1242,"Peas, green",2017,18.0,Farm,"Main reasons given: Higher sales/better prices, improved agronomy, e.g. new pesticides, better harvest techniques, not possible, better weather.","Damage during
harvest and handling,
no
sale/overproduction,
weather conditions,
other quality
parameters and
damage from
animals are the main
reasons given.","No. Of distributed questionnaires 252
No. Of answers 64
Response frequency 25%",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1251,Carrots and turnips,2017,25.0,Farm,,"Quality issues, pests, plant diseases, harvesting methods.Plant diseases, mould, germinated, injured 2 0 1 18%
Pests (insects, birds, etc.) 2 3 1 35%
Weather conditions 1 1 1 24%
Cultivation method and crop protection 1 0 1 12%
Harvest method 2 2 1 29%
Processing processes 1 0 0 6%
Wrong size/carrot shape 6 1 1 47%
Appearance (small spots, etc.) 2 3 1 35%
Other quality errors 1 0 1 12%
Surplus production 0 0 2 12%
Human error 1 0 0 6%
No buyers 1 0 0 6%
Not economically profitable 0 0 1 6%
Other reasons 0 0 0 0%","No. of distributed questionnaires 53
No. of answers 17
Response frequency 32%",Survey,FoodLossPrimaryProd.pdf,,"Pg 9;The questionnaire was generally relatively unclear and suffered due to a poor
translation into Danish. There were multiple examples of words and phrases that were
difficult for the respondents to understand. For example the word “sidestrømning”
(side flows) was used to mean carrots which ended up being used as non-foods. The
word is not a Danish word and is not self-explanatory."
208,Denmark,,1251,Carrots and turnips,2017,10.0,Harvest,,left in field,,Survey,FoodLossPrimaryProd.pdf,,Pg 9
208,Denmark,,1253.01,"Onions and shallots, green",2017,5.5,Harvest,,"During harvesting of spring onions
During field drying and harvesting of regular onions","No. of distributed questionnaires 41
No. of answers 18
Response frequency 43%
No. Of answer by producer 17",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1253.01,"Onions and shallots, green",2017,43.0,Pre-harvest,,Not harvested,"No. of distributed questionnaires 41
No. of answers 18
Response frequency 43%
No. Of answer by producer 17",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1253.01,"Onions and shallots, green",2017,8.5,Storage,,"During packing and storage of spring onions
During packing and storage of regular onions","No. of distributed questionnaires 41
No. of answers 18
Response frequency 43%
No. Of answer by producer 17",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1253.01,"Onions and shallots, green",2017,9.0,Transport,,During delivery to food shops or similar,"No. of distributed questionnaires 41
No. of answers 18
Response frequency 43%
No. Of answer by producer 17",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1253.01,"Onions and shallots, green",2017,21.0,Farm,,"Average/ Frequency of producers/Frequency of producers who answered “Don’t know” 
Disease in field 29% 59% 12%
Damage from pest insects or animals in field 17% 18% 6%
Weather conditions (frost, drought, etc.) 28% 35% 6%
During temporary storage before drying 0% 0% 6%
Technical problems related to cultivation method (spray
damage, poor drainage, etc.)
10% 6% 6%
Damage during harvest and handling 10% 41% 12%
Undesirable size 9% 29% 12%
Undesirable shape or appearance (rot, lumpy, etc.) 28% 47% 12%
Leftovers from processing 0% 0% 12%
Reclaimed 0% 0% 6%
No sale 9% 12% 6%","No. of distributed questionnaires 41
No. of answers 18
Response frequency 43%
No. Of answer by producer 17",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1253.01,"Onions and shallots, green",2017,5.0,Retail,,During sale or advertisement,"No. of distributed questionnaires 41
No. of answers 18
Response frequency 43%
No. Of answer by producer 17",Survey,FoodLossPrimaryProd.pdf,,
208,Denmark,,1253.01,"Onions and shallots, green",2013,21.0,Whole supply chain,,,17,Survey,"Hartikainen et al., 2014",,Expanded from loss factor 21101 based on the period_years.
208,Denmark,,1253.01,"Onions and shallots, green",2012,21.0,Whole supply chain,,,17,Survey,"Hartikainen et al., 2014",,Expanded from loss factor 21101 based on the period_years.
208,Denmark,,1253.01,"Onions and shallots, green",2011,21.0,Whole supply chain,,,17,Survey,"Hartikainen et al., 2014",,Expanded from loss factor 21101 based on the period_years.
231,Ethiopia,,1234,Tomatoes,2015,17.0,Whole supply chain,,,,Survey,"Margareta Topel (2015), assessment of postharvest loss for perishable produces from wholesalers to consumers",, Reference has been generated automatically
231,Ethiopia,,1312,Bananas,2015,24.6,Whole supply chain,,,,Survey,"Margareta Topel (2015), assessment of postharvest loss for perishable produces from wholesalers to consumers",, Reference has been generated automatically
231,Ethiopia,,1323,Oranges,2015,20.0,Whole supply chain,,,,Survey,"Margareta Topel (2015), assessment of postharvest loss for perishable produces from wholesalers to consumers",, Reference has been generated automatically
231,Ethiopia,Addis Ababa and Adama cities,1312,Bananas,2012,7.1,Wholesale,,"Distance Transported, Poor Packaging, Uncontrolled Ripening","A total of 50 sample farmers were selected randomly from six peasant associations of the two districts based on probability proportional size. Postharvest loss at wholesalers and retailers were also surveyed in Addis Ababa and Adama taking a total of 42 wholesalers and, 50 retailers who were randomly selected based on probability proportional to size",No Data Collection Specified,Mulualem Azene Mebratie1* Jema Haji2 Kebede Woldetsadik2 Amare Ayalew4,http://www.iiste.org/Journals/index.php/FSQM/article/download/20609/21032,
231,Ethiopia,Addis Ababa and Adama cities,1312,Bananas,2012,14.9,Retail,,"Rough Handling, Inability To Finish And Market In Shorter Times, Inefficient Protection From Sun","A total of 50 sample farmers were selected randomly from six peasant associations of the two districts based on probability proportional size. Postharvest loss at wholesalers and retailers were also surveyed in Addis Ababa and Adama taking a total of 42 wholesalers and, 50 retailers who were randomly selected based on probability proportional to size",No Data Collection Specified,Mulualem Azene Mebratie1* Jema Haji2 Kebede Woldetsadik2 Amare Ayalew5,http://www.iiste.org/Journals/index.php/FSQM/article/download/20609/21033,
231,Ethiopia,Gamo Gofa zone of Southern Nations Nationalities and Peoples Region (SNNPR); Addis Ababa and Adama cities,1312,Bananas,2012,4.5,Farm,,"Mechanical Damage, Improper Maturity, Sun Browning","A total of 50 sample farmers were selected randomly from six peasant associations of the two districts based on probability proportional size. Postharvest loss at wholesalers and retailers were also surveyed in Addis Ababa and Adama taking a total of 42 wholesalers and, 50 retailers who were randomly selected based on probability proportional to size",No Data Collection Specified,Mulualem Azene Mebratie1* Jema Haji2 Kebede Woldetsadik2 Amare Ayalew3,http://www.iiste.org/Journals/index.php/FSQM/article/download/20609/21031,
242,Fiji,,1234,Tomatoes,2012,13.4,Households,Day 3,,,Survey,"Steven Underhill (2013), commercial tomato supply chain in fiji",, Reference has been generated automatically
242,Fiji,,1234,Tomatoes,2012,8.8,Farm,,,,Survey,"Steven Underhill (2013), commercial tomato supply chain in fiji",, Reference has been generated automatically
242,Fiji,,1234,Tomatoes,2012,6.4,Wholesale,,,,Survey,"Steven Underhill (2013), commercial tomato supply chain in fiji",, Reference has been generated automatically
242,Fiji,,1234,Tomatoes,2012,8.3,Households,Day 2,,,Survey,"Steven Underhill (2013), commercial tomato supply chain in fiji",, Reference has been generated automatically
242,Fiji,,1234,Tomatoes,2012,0.1,Transport,,,,Survey,"Steven Underhill (2013), commercial tomato supply chain in fiji",, Reference has been generated automatically
242,Fiji,,1234,Tomatoes,2012,6.2,Households,Day 1,,,Survey,"Steven Underhill (2013), commercial tomato supply chain in fiji",, Reference has been generated automatically
